,brand,cap,flash,name,price,readWay,warranty,writeWay,cp
0,金士頓,240,TLC,金士頓 A400 240G,2600,500,三,450,10.833333333333334
1,金士頓,480,TLC,金士頓 A400 480G,4588,500,三,450,9.558333333333334
2,金士頓SSDNow,240,,"金士頓SSDNow UV400 240G雞年限定版(含升級套件組)【三年保】, $2988 ★
",2988,0,三,0,12.45
3,金士頓,120,TLC,金士頓 UV400 120G,1650,550,三,350,13.75
4,金士頓,240,TLC,金士頓 UV400 240G,2630,550,三,490,10.958333333333334
5,金士頓,240,TLC,金士頓 UV400 240G,2580,550,三,490,10.75
6,金士頓,480,TLC,金士頓 UV400 480G,4288,550,三,500,8.933333333333334
7,金士頓,960,TLC,金士頓 UV400 960G,9100,550,三,500,9.479166666666666
8,金士頓,240,MLC,金士頓 V300 240G,2650,450,三,450,11.041666666666666
9,金士頓,120,MLC,金士頓 HyperX FURY 120G,1750,500,三,500,14.583333333333334
10,UMAX,240,TLC,UMAX S300 240G,2299,540,三,490,9.579166666666667
11,UMAX,256,,UMAX S350 256GB ,2588,560,三,500,10.109375
12,SanDisk,128,TLC,SanDisk X400 128G,1770,540,五,340,13.828125
13,SanDisk,256,TLC,SanDisk X400 256G,2900,540,五,520,11.328125
14,SanDisk,512,TLC,SanDisk X400 512G,5150,540,五,520,10.05859375
15,SanDisk,1000,TLC,SanDisk X400 1TB,10150,540,五,520,10.15
16,Liteon,240,TLC,Liteon MUIII 240G,2250,555,三,470,9.375
17,Liteon,120,MLC,Liteon MUIII Rock 120G,1588,530,三,290,13.233333333333333
18,Liteon,240,MLC,Liteon MUIII Rock 240G,2488,530,三,420,10.366666666666667
19,Intel,150,MLC,Intel DC S3520系列 150G,2999,450,五,380,19.993333333333332
20,Intel,480,TLC,Intel 540s系列 480G,5500,560,五,480,11.458333333333334
21,威剛,128,TLC,威剛 Ultimate SU800 128G,1580,560,三,520,12.34375
22,威剛,256,TLC,威剛 Ultimate SU800 256G,2680,560,三,520,10.46875
23,威剛,512,TLC,威剛 Ultimate SU800 512G,4899,560,三,520,9.568359375
24,創見,128,TLC,創見 230S系列 128G,1650,560,三,520,12.890625
25,創見,128,TLC,創見 230S系列 128G,1550,560,三,520,12.109375
26,創見,256,TLC,創見 230S系列 256G,2650,560,三,520,10.3515625
27,創見,256,TLC,創見 230S系列 256G,2550,560,三,520,9.9609375
28,創見,512,TLC,創見 230S系列 512G,4999,560,三,520,9.763671875
29,創見,512,TLC,創見 230S系列 512G,4688,560,三,520,9.15625
30,創見,128,MLC,創見 340K系列 128G,1680,520,三,150,13.125
31,創見,128,MLC,創見 340K系列 128G,1599,520,三,150,12.4921875
32,創見,256,MLC,創見 340K系列 256G,2900,520,三,290,11.328125
33,創見,128,MLC,創見 370S系列 128G,1850,570,三,170,14.453125
34,創見,256,MLC,創見 370S系列 256G,3570,570,三,310,13.9453125
35,創見,512,MLC,創見 370S系列 512G,5888,570,,470,11.5
36,創見,1000,MLC,創見 370S系列 1TB,11900,560,三,460,11.9
37,Toshiba,240,TLC,Toshiba A100 240G,2650,550,三,480,11.041666666666666
38,美光,275,TLC,美光 MX300 275G,2730,530,三,500,9.927272727272728
39,美光,525,TLC,美光 MX300 525G,4350,530,三,510,8.285714285714286
40,美光,525,TLC,美光 MX300 525G,4250,530,三,510,8.095238095238095
41,美光,1050,TLC,美光 MX300 1050G,8800,530,三,510,8.380952380952381
42,美光,1050,TLC,美光 MX300 1050G,8500,530,三,510,8.095238095238095
43,美光,2050,TLC,美光 MX300 2050G,18300,530,三,510,8.926829268292684
44,WD,120,TLC,WD Green 120G(綠標),1499,540,三,430,12.491666666666667
45,WD,250,TLC,WD Blue 250G(藍標),2470,540,三,500,9.88
46,WD,500,TLC,WD Blue 500G(藍標),4650,545,三,525,9.3
47,WD,1000,TLC,WD Blue 1TB(藍標),8750,545,三,525,8.75
