brand,name,warranty,flash,readWay,writeWay,cap,price
金士頓,金士頓 A400 240G,三,TLC,500,450,240,2600
金士頓,金士頓 A400 480G,三,TLC,500,450,480,4588
金士頓SSDNow,"金士頓SSDNow UV400 240G雞年限定版(含升級套件組)【三年保】, $2988 ★
",三,,0,0,240,2988
金士頓,金士頓 UV400 120G,三,TLC,550,350,120,1650
金士頓,金士頓 UV400 240G,三,TLC,550,490,240,2630
金士頓,金士頓 UV400 240G,三,TLC,550,490,240,2580
金士頓,金士頓 UV400 480G,三,TLC,550,500,480,4288
金士頓,金士頓 UV400 960G,三,TLC,550,500,960,9100
金士頓,金士頓 V300 240G,三,MLC,450,450,240,2650
金士頓,金士頓 HyperX FURY 120G,三,MLC,500,500,120,1750
UMAX,UMAX S300 240G,三,TLC,540,490,240,2299
UMAX,UMAX S350 256GB ,三,,560,500,256,2588
SanDisk,SanDisk X400 128G,五,TLC,540,340,128,1770
SanDisk,SanDisk X400 256G,五,TLC,540,520,256,2900
SanDisk,SanDisk X400 512G,五,TLC,540,520,512,5150
SanDisk,SanDisk X400 1TB,五,TLC,540,520,1000,10150
Liteon,Liteon MUIII 240G,三,TLC,555,470,240,2250
Liteon,Liteon MUIII Rock 120G,三,MLC,530,290,120,1588
Liteon,Liteon MUIII Rock 240G,三,MLC,530,420,240,2488
Intel,Intel DC S3520系列 150G,五,MLC,450,380,150,2999
Intel,Intel 540s系列 480G,五,TLC,560,480,480,5500
威剛,威剛 Ultimate SU800 128G,三,TLC,560,520,128,1580
威剛,威剛 Ultimate SU800 256G,三,TLC,560,520,256,2680
威剛,威剛 Ultimate SU800 512G,三,TLC,560,520,512,4899
創見,創見 230S系列 128G,三,TLC,560,520,128,1650
創見,創見 230S系列 128G,三,TLC,560,520,128,1550
創見,創見 230S系列 256G,三,TLC,560,520,256,2650
創見,創見 230S系列 256G,三,TLC,560,520,256,2550
創見,創見 230S系列 512G,三,TLC,560,520,512,4999
創見,創見 230S系列 512G,三,TLC,560,520,512,4688
創見,創見 340K系列 128G,三,MLC,520,150,128,1680
創見,創見 340K系列 128G,三,MLC,520,150,128,1599
創見,創見 340K系列 256G,三,MLC,520,290,256,2900
創見,創見 370S系列 128G,三,MLC,570,170,128,1850
創見,創見 370S系列 256G,三,MLC,570,310,256,3570
創見,創見 370S系列 512G,,MLC,570,470,512,5888
創見,創見 370S系列 1TB,三,MLC,560,460,1000,11900
Toshiba,Toshiba A100 240G,三,TLC,550,480,240,2650
美光,美光 MX300 275G,三,TLC,530,500,275,2730
美光,美光 MX300 525G,三,TLC,530,510,525,4350
美光,美光 MX300 525G,三,TLC,530,510,525,4250
美光,美光 MX300 1050G,三,TLC,530,510,1050,8800
美光,美光 MX300 1050G,三,TLC,530,510,1050,8500
美光,美光 MX300 2050G,三,TLC,530,510,2050,18300
WD,WD Green 120G(綠標),三,TLC,540,430,120,1499
WD,WD Blue 250G(藍標),三,TLC,540,500,250,2470
WD,WD Blue 500G(藍標),三,TLC,545,525,500,4650
WD,WD Blue 1TB(藍標),三,TLC,545,525,1000,8750
